Filename,Duration,File Size,Creation Date,Original Path
dd0ca46b-1103-4bef-9c94-e21c6e832a19.mp4,0:00,1.72 MB,06-21-24,/Volumes/Pics/Trashy/mp4/dd0ca46b-1103-4bef-9c94-e21c6e832a19.mp4
moonbeam - ran the man -306.mp4,3:07,4.43 MB,06-21-24,/Volumes/Pics/Trashy/mp4/moonbeam - ran the man -306.mp4
Recycled Symphony.mp4,3:02,20.21 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Recycled Symphony.mp4
Junkyard Symphony Scraps.mp4,3:11,4.42 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Junkyard Symphony Scraps.mp4
Royalty of Refuse.mp4,3:47,5.26 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Royalty of Refuse.mp4
6b9298c9-0870-4bc7-baa3-5f3b1184b641.mp4,0:00,35.38 MB,06-21-24,/Volumes/Pics/Trashy/mp4/6b9298c9-0870-4bc7-baa3-5f3b1184b641.mp4
Junkyard Moon Symphony.mp4,2:59,4.14 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Junkyard Moon Symphony.mp4
0f8eb7bd-a7f6-4961-9263-e8d8d74da726.mp4,0:00,1.78 MB,06-21-24,/Volumes/Pics/Trashy/mp4/0f8eb7bd-a7f6-4961-9263-e8d8d74da726.mp4
Junkyard symphony from hearts.mp4,3:54,5.41 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Junkyard symphony from hearts.mp4
Bite in the Night Accapella.mp4,0:35,33.56 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Bite in the Night Accapella.mp4
in this alley where i Hide - LIVE - CuT.mp4,2:51,2.68 MB,06-21-24,/Volumes/Pics/Trashy/mp4/in this alley where i Hide - LIVE - CuT.mp4
Midnight Drive.mp4,1:09,2.08 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Midnight Drive.mp4
Dumpster Brew.mp4,2:43,15.55 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Dumpster Brew.mp4
3ca15150-f69d-43e8-8e40-eb913a9d796b.mp4,0:00,1.54 MB,06-21-24,/Volumes/Pics/Trashy/mp4/3ca15150-f69d-43e8-8e40-eb913a9d796b.mp4
JunkYard Destiny.mp4,3:37,21.75 MB,06-21-24,/Volumes/Pics/Trashy/mp4/JunkYard Destiny.mp4
Junkyard Kings.mp4,4:00,18.01 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Junkyard Kings.mp4
Anti-Love Struck copy.mp4,2:17,131.05 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Anti-Love Struck copy.mp4
56d80272-a1ba-45ea-a8b4-455bd36e02cf.mp4,0:00,1.80 MB,06-21-24,/Volumes/Pics/Trashy/mp4/56d80272-a1ba-45ea-a8b4-455bd36e02cf.mp4
Anti-Love Struck.mp4,2:18,132.80 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Anti-Love Struck.mp4
ee896160-5f55-4ac5-8959-b4817d01cefd.mp4,0:00,2.66 MB,06-21-24,/Volumes/Pics/Trashy/mp4/ee896160-5f55-4ac5-8959-b4817d01cefd.mp4
8e05dc4a-bbe4-4bb9-8772-8666ee674838.mp4,0:00,34.18 MB,06-21-24,/Volumes/Pics/Trashy/mp4/8e05dc4a-bbe4-4bb9-8772-8666ee674838.mp4
38c6ed5c-c8fe-47de-94ff-140ebf1fec43.mp4,0:00,35.10 MB,06-21-24,/Volumes/Pics/Trashy/mp4/38c6ed5c-c8fe-47de-94ff-140ebf1fec43.mp4
Moonlight Alley Sammy Ballad.mp4,2:50,4.55 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Moonlight Alley Sammy Ballad.mp4
Raccoon Clan.mp4,1:59,3.29 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Raccoon Clan.mp4
Sammy's Serenade.mp4,3:55,5.42 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Sammy's Serenade.mp4
Cannon Blastin.mp4,2:45,111.62 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Cannon Blastin.mp4
Bite in the Night Fin.mp4,3:15,144.16 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Bite in the Night Fin.mp4
4c71ed47-fc49-4519-971d-7035782bd348.mp4,0:00,34.80 MB,06-21-24,/Volumes/Pics/Trashy/mp4/4c71ed47-fc49-4519-971d-7035782bd348.mp4
Let's Get Trashy.mp4,3:00,4.17 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Let's Get Trashy.mp4
Concrete Jungle Rumble.mp4,3:32,85.34 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Concrete Jungle Rumble.mp4
Turning Trash Into Treasure.mp4,2:47,3.96 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Turning Trash Into Treasure.mp4
Hope from Broken Parts.mp4,3:03,4.34 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Hope from Broken Parts.mp4
In this Alley Where I Hide - Live.mp4,2:51,6.58 MB,06-21-24,/Volumes/Pics/Trashy/mp4/In this Alley Where I Hide - Live.mp4
e1da6ff8-7bd1-4a83-9100-1151655bebb3.mp4,0:00,2.13 MB,06-21-24,/Volumes/Pics/Trashy/mp4/e1da6ff8-7bd1-4a83-9100-1151655bebb3.mp4
Virtual Pulse.mp4,3:05,2.86 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Virtual Pulse.mp4
c67b2307-6a0e-42f5-b7a4-5fec59b5375d.mp4,0:00,33.07 MB,06-21-24,/Volumes/Pics/Trashy/mp4/c67b2307-6a0e-42f5-b7a4-5fec59b5375d.mp4
47088cc3-2def-45fb-99a7-584168728d07.mp4,0:00,33.31 MB,06-21-24,/Volumes/Pics/Trashy/mp4/47088cc3-2def-45fb-99a7-584168728d07.mp4
69ed84a8-2a91-46dd-b31c-f0cc0f94c35d.mp4,0:00,34.63 MB,06-21-24,/Volumes/Pics/Trashy/mp4/69ed84a8-2a91-46dd-b31c-f0cc0f94c35d.mp4
No more love songs.mp4,2:40,6.16 MB,06-21-24,/Volumes/Pics/Trashy/mp4/No more love songs.mp4
in This aLLey Where i HiDe copy.mp4,2:37,147.37 MB,06-21-24,/Volumes/Pics/Trashy/mp4/in This aLLey Where i HiDe copy.mp4
Heroes RiSe.mp4,1:59,2.75 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Heroes RiSe.mp4
in this alley where i Hide - LIVE - CuT copy.mp4,3:59,6.33 MB,06-21-24,/Volumes/Pics/Trashy/mp4/in this alley where i Hide - LIVE - CuT copy.mp4
Echoes of Moonlight.mp4,3:15,12.26 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Echoes of Moonlight.mp4
Moonlight's Pomise.mp4,2:41,3.72 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Moonlight's Pomise.mp4
Moonlit Alley Country Sorrows.mp4,2:40,4.18 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Moonlit Alley Country Sorrows.mp4
e7fa47d9-4a2c-47c0-97a2-6889c9fb06cd.mp4,0:00,34.35 MB,06-21-24,/Volumes/Pics/Trashy/mp4/e7fa47d9-4a2c-47c0-97a2-6889c9fb06cd.mp4
Grabage Grove.mp4,2:08,4.93 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Grabage Grove.mp4
Dumpster Fire Happy Hour-brew.mp4,2:42,4.42 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Dumpster Fire Happy Hour-brew.mp4
in the alley where i hide - almost.mp4,2:52,35.88 MB,06-21-24,/Volumes/Pics/Trashy/mp4/in the alley where i hide - almost.mp4
Moonlight Alley Sammy Ballad - musicenhanc- biteinthenight-voice.mp4,2:51,2.68 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Moonlight Alley Sammy Ballad - musicenhanc- biteinthenight-voice.mp4
Dumpster Fire Happy Hour backalley.mp4,2:33,4.10 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Dumpster Fire Happy Hour backalley.mp4
Junkyard Dream Symphony.mp4,2:11,3.04 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Junkyard Dream Symphony.mp4
Echoes of the Junkyard.mp4,2:55,16.41 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Echoes of the Junkyard.mp4
iEchos - in this aLlley where i Hide - acoustic.mp4,2:40,2.53 MB,06-21-24,/Volumes/Pics/Trashy/mp4/iEchos - in this aLlley where i Hide - acoustic.mp4
HeartBreak Alley 2.mp4,1:54,2.68 MB,06-21-24,/Volumes/Pics/Trashy/mp4/HeartBreak Alley 2.mp4
96225155-90d4-46b8-bb18-9bc43bf5b2f8.mp4,0:00,1.28 MB,06-21-24,/Volumes/Pics/Trashy/mp4/96225155-90d4-46b8-bb18-9bc43bf5b2f8.mp4
UpscaleVideo_1_20240613.mp4,0:00,6.09 MB,06-21-24,/Volumes/Pics/Trashy/mp4/UpscaleVideo_1_20240613.mp4
6b2de465-9dae-475a-b552-481306883ee8.mp4,0:00,2.31 MB,06-21-24,/Volumes/Pics/Trashy/mp4/6b2de465-9dae-475a-b552-481306883ee8.mp4
Urban Raccoon Party.mp4,3:59,5.52 MB,06-21-24,/Volumes/Pics/Trashy/mp4/Urban Raccoon Party.mp4
