Filename,Duration,File Size,Creation Date,Original Path
Moonly Alley4.mp3,1:25,1.97 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly Alley4.mp3
Moonlit-Reverie (2).mp3,3:40,5.04 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonlit-Reverie (2).mp3
No-More-Love-Songs.mp3,2:32,3.49 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/No-More-Love-Songs.mp3
Moonly-Alley4.mp3,1:25,1.97 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly-Alley4.mp3
Cannon Blastin_tempTEMP_MPY_wvf_snd.mp3,2:45,2.52 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Cannon Blastin_tempTEMP_MPY_wvf_snd.mp3
Shadow Messages.mp3,2:26,3.36 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Shadow Messages.mp3
Marching-ever-forward-neath-the-wooded-s2.mp3,3:09,4.33 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Marching-ever-forward-neath-the-wooded-s2.mp3
The-Sound-of-Ancestors2.mp3,2:11,3.01 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/The-Sound-of-Ancestors2.mp3
Marching-ever-forward-neath-the-wooded-s.mp3,2:56,4.04 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Marching-ever-forward-neath-the-wooded-s.mp3
Recycled Symphony_tempTEMP_MPY_wvf_snd.mp3,3:05,2.83 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Recycled Symphony_tempTEMP_MPY_wvf_snd.mp3
Recycled Symphony2.mp3,3:02,4.19 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Recycled Symphony2.mp3
Anti-Love Struck_tempTEMP_MPY_wvf_snd.mp3,2:18,2.12 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Anti-Love Struck_tempTEMP_MPY_wvf_snd.mp3
Moonly Alley2.mp3,1:23,1.90 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly Alley2.mp3
Icarus_ The Flight and Fall 2024-09-07_tempTEMP_MPY_wvf_snd.mp3,2:33,2.34 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Icarus_ The Flight and Fall 2024-09-07_tempTEMP_MPY_wvf_snd.mp3
Heartbeats in the Dark.mp3,4:00,5.50 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Heartbeats in the Dark.mp3
Howligritty Nights.mp3,2:49,3.89 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Howligritty Nights.mp3
Moonly Alley3.mp3,1:29,2.04 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly Alley3.mp3
Dance-Like-Nobody's-Watching.mp3,2:19,3.19 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Dance-Like-Nobody's-Watching.mp3
TrashCaTs - HeartBreak aLLey by @avatararts ｜ Suno (1) [08ec1b4a-6a61-4c47-92eb-f3b9e9a9bb44-1].mp3,0:30,1.14 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/TrashCaTs - HeartBreak aLLey by @avatararts ｜ Suno (1) [08ec1b4a-6a61-4c47-92eb-f3b9e9a9bb44-1].mp3
Moonly-Alley2.mp3,1:23,1.90 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly-Alley2.mp3
Royalty-of-Refuse.mp3,3:47,5.22 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Royalty-of-Refuse.mp3
Junkyard Moon Symphony4.mp3,2:59,4.11 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junkyard Moon Symphony4.mp3
Howligritty-Nights.mp3,2:49,3.89 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Howligritty-Nights.mp3
JunkYard Destiny_tempTEMP_MPY_wvf_snd.mp3,3:39,3.36 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/JunkYard Destiny_tempTEMP_MPY_wvf_snd.mp3
The Alley King.mp3,2:39,3.65 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/The Alley King.mp3
The-Sound-of-Ancestors.mp3,3:04,4.22 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/The-Sound-of-Ancestors.mp3
Dumpster Fire Happy Hour backalley-live-punk-ROCK.mp3,2:34,5.88 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Dumpster Fire Happy Hour backalley-live-punk-ROCK.mp3
"Love is Rubbish, and Rubbish is Love.mp3",2:44,3.76 MB,10-07-24,"/Volumes/Pics/2025/2025-mp3/trashy/Love is Rubbish, and Rubbish is Love.mp3"
Howling Cat's Song.mp3,2:36,3.59 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Howling Cat's Song.mp3
in This aLLey Where i HiDe2.mp3,2:39,3.66 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/in This aLLey Where i HiDe2.mp3
Enchanted-Woods2.mp3,2:37,3.61 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Enchanted-Woods2.mp3
Enchanted-Woods.mp3,3:31,4.83 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Enchanted-Woods.mp3
Moonly-Alley-Serenade.mp3,2:57,4.06 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly-Alley-Serenade.mp3
The-Raccoon's-Revelry.mp3,2:06,2.89 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/The-Raccoon's-Revelry.mp3
Junkyard Dream Symphony5.mp3,2:11,3.01 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junkyard Dream Symphony5.mp3
Moonlit-Reverie (1).mp3,3:40,5.04 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonlit-Reverie (1).mp3
Enchanted Woods2.mp3,2:37,3.61 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Enchanted Woods2.mp3
Blues-in-the-Alley-Haunted-Strings-Nocturnal-Notes2.mp3,3:16,4.51 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Blues-in-the-Alley-Haunted-Strings-Nocturnal-Notes2.mp3
